Entity,Code,Year,Deaths,Reasons
Australia,AUS,1990,0.69,Deaths - Household air pollution from solid fuels
Australia,AUS,1991,0.62,Deaths - Household air pollution from solid fuels
Australia,AUS,1992,0.56,Deaths - Household air pollution from solid fuels
Australia,AUS,1993,0.49,Deaths - Household air pollution from solid fuels
Australia,AUS,1994,0.45,Deaths - Household air pollution from solid fuels
Australia,AUS,1995,0.39,Deaths - Household air pollution from solid fuels
Australia,AUS,1996,0.36,Deaths - Household air pollution from solid fuels
Australia,AUS,1997,0.32,Deaths - Household air pollution from solid fuels
Australia,AUS,1998,0.28,Deaths - Household air pollution from solid fuels
Australia,AUS,1999,0.26,Deaths - Household air pollution from solid fuels
Australia,AUS,2000,0.24,Deaths - Household air pollution from solid fuels
Australia,AUS,2001,0.22,Deaths - Household air pollution from solid fuels
Australia,AUS,2002,0.21,Deaths - Household air pollution from solid fuels
Australia,AUS,2003,0.19,Deaths - Household air pollution from solid fuels
Australia,AUS,2004,0.18,Deaths - Household air pollution from solid fuels
Australia,AUS,2005,0.16,Deaths - Household air pollution from solid fuels
Australia,AUS,2006,0.15,Deaths - Household air pollution from solid fuels
Australia,AUS,2007,0.14,Deaths - Household air pollution from solid fuels
Australia,AUS,2008,0.14,Deaths - Household air pollution from solid fuels
Australia,AUS,2009,0.13,Deaths - Household air pollution from solid fuels
Australia,AUS,2010,0.12,Deaths - Household air pollution from solid fuels
Australia,AUS,2011,0.11,Deaths - Household air pollution from solid fuels
Australia,AUS,2012,0.1,Deaths - Household air pollution from solid fuels
Australia,AUS,2013,0.1,Deaths - Household air pollution from solid fuels
Australia,AUS,2014,0.09,Deaths - Household air pollution from solid fuels
Australia,AUS,2015,0.09,Deaths - Household air pollution from solid fuels
Australia,AUS,2016,0.08,Deaths - Household air pollution from solid fuels
Australia,AUS,2017,0.08,Deaths - Household air pollution from solid fuels
Australia,AUS,1990,25.73,Deaths - Ambient particulate matter pollution
Australia,AUS,1991,25.02,Deaths - Ambient particulate matter pollution
Australia,AUS,1992,24.87,Deaths - Ambient particulate matter pollution
Australia,AUS,1993,23.87,Deaths - Ambient particulate matter pollution
Australia,AUS,1994,23.65,Deaths - Ambient particulate matter pollution
Australia,AUS,1995,22.43,Deaths - Ambient particulate matter pollution
Australia,AUS,1996,22.41,Deaths - Ambient particulate matter pollution
Australia,AUS,1997,21.84,Deaths - Ambient particulate matter pollution
Australia,AUS,1998,20.96,Deaths - Ambient particulate matter pollution
Australia,AUS,1999,19.9,Deaths - Ambient particulate matter pollution
Australia,AUS,2000,18.91,Deaths - Ambient particulate matter pollution
Australia,AUS,2001,18.12,Deaths - Ambient particulate matter pollution
Australia,AUS,2002,17.66,Deaths - Ambient particulate matter pollution
Australia,AUS,2003,16.8,Deaths - Ambient particulate matter pollution
Australia,AUS,2004,15.93,Deaths - Ambient particulate matter pollution
Australia,AUS,2005,15.02,Deaths - Ambient particulate matter pollution
Australia,AUS,2006,14.53,Deaths - Ambient particulate matter pollution
Australia,AUS,2007,14.51,Deaths - Ambient particulate matter pollution
Australia,AUS,2008,14.23,Deaths - Ambient particulate matter pollution
Australia,AUS,2009,13.69,Deaths - Ambient particulate matter pollution
Australia,AUS,2010,13.14,Deaths - Ambient particulate matter pollution
Australia,AUS,2011,13.28,Deaths - Ambient particulate matter pollution
Australia,AUS,2012,12.2,Deaths - Ambient particulate matter pollution
Australia,AUS,2013,11.38,Deaths - Ambient particulate matter pollution
Australia,AUS,2014,10.94,Deaths - Ambient particulate matter pollution
Australia,AUS,2015,10.7,Deaths - Ambient particulate matter pollution
Australia,AUS,2016,9.97,Deaths - Ambient particulate matter pollution
Australia,AUS,2017,10.13,Deaths - Ambient particulate matter pollution
Australia,AUS,1990,0.33,Deaths - Ambient ozone pollution
Australia,AUS,1991,0.32,Deaths - Ambient ozone pollution
Australia,AUS,1992,0.33,Deaths - Ambient ozone pollution
Australia,AUS,1993,0.32,Deaths - Ambient ozone pollution
Australia,AUS,1994,0.33,Deaths - Ambient ozone pollution
Australia,AUS,1995,0.32,Deaths - Ambient ozone pollution
Australia,AUS,1996,0.32,Deaths - Ambient ozone pollution
Australia,AUS,1997,0.31,Deaths - Ambient ozone pollution
Australia,AUS,1998,0.3,Deaths - Ambient ozone pollution
Australia,AUS,1999,0.3,Deaths - Ambient ozone pollution
Australia,AUS,2000,0.29,Deaths - Ambient ozone pollution
Australia,AUS,2001,0.28,Deaths - Ambient ozone pollution
Australia,AUS,2002,0.29,Deaths - Ambient ozone pollution
Australia,AUS,2003,0.28,Deaths - Ambient ozone pollution
Australia,AUS,2004,0.28,Deaths - Ambient ozone pollution
Australia,AUS,2005,0.28,Deaths - Ambient ozone pollution
Australia,AUS,2006,0.28,Deaths - Ambient ozone pollution
Australia,AUS,2007,0.3,Deaths - Ambient ozone pollution
Australia,AUS,2008,0.33,Deaths - Ambient ozone pollution
Australia,AUS,2009,0.34,Deaths - Ambient ozone pollution
Australia,AUS,2010,0.36,Deaths - Ambient ozone pollution
Australia,AUS,2011,0.4,Deaths - Ambient ozone pollution
Australia,AUS,2012,0.42,Deaths - Ambient ozone pollution
Australia,AUS,2013,0.45,Deaths - Ambient ozone pollution
Australia,AUS,2014,0.5,Deaths - Ambient ozone pollution
Australia,AUS,2015,0.55,Deaths - Ambient ozone pollution
Australia,AUS,2016,0.6,Deaths - Ambient ozone pollution
Australia,AUS,2017,0.66,Deaths - Ambient ozone pollution
